#z(nm),hydrogen bonding,err
2.6,1.731,0.966,2.754,0.815,150.11,43.824
2.7,1.703,0.925,2.784,0.752,152.377,40.468
2.8,1.754,0.956,2.767,0.769,151.583,41.565
2.9,1.747,0.949,2.771,0.77,151.582,41.568
3.0,1.804,0.954,2.807,0.696,153.88,37.537
3.1,1.745,0.941,2.78,0.726,153.046,39.331
3.2,1.79,0.944,2.803,0.702,153.878,37.877
3.3,1.828,0.954,2.814,0.684,154.3,36.84
3.4,1.751,0.924,2.795,0.714,153.512,38.567
3.5,1.644,0.908,2.745,0.79,150.933,42.878
3.6,1.618,0.894,2.755,0.76,151.866,41.262
3.7,1.759,0.931,2.799,0.705,153.745,38.077
3.8,1.792,0.935,2.806,0.682,154.306,36.861
3.9,1.788,0.943,2.796,0.72,153.378,38.91
4.0,1.805,0.954,2.801,0.702,153.885,37.954
4.1,1.792,0.939,2.797,0.7,153.777,37.877
4.2,1.766,0.946,2.786,0.717,153.339,38.86
4.3,1.805,0.952,2.805,0.686,154.265,37.093
4.4,1.84,0.961,2.815,0.685,154.255,36.884
4.5,1.884,0.964,2.835,0.654,155.047,35.092
4.6,1.877,0.965,2.832,0.649,155.231,34.897
4.7,1.85,0.96,2.817,0.677,154.481,36.453
4.8,1.873,0.964,2.83,0.64,155.439,34.475
4.9,1.877,0.966,2.832,0.647,155.205,34.8
5.0,1.9,0.974,2.841,0.634,155.718,34.031
5.1,1.881,0.984,2.813,0.688,154.131,37.05
5.2,1.901,0.979,2.824,0.673,154.624,36.25
5.3,1.925,0.994,2.836,0.648,155.303,34.865
5.4,1.922,0.999,2.83,0.653,155.093,35.137
5.5,1.927,0.993,2.838,0.643,155.404,34.51
5.6,1.94,1.002,2.837,0.646,155.238,34.679
5.7,1.922,1.001,2.817,0.691,154.099,37.212
5.8,1.95,0.987,2.843,0.637,155.498,34.177
5.9,1.96,0.983,2.858,0.612,156.165,32.723
6.0,1.924,0.981,2.832,0.653,155.013,35.127
6.1,1.941,0.992,2.849,0.615,156.168,33.017
6.2,1.918,0.99,2.831,0.657,155.053,35.313
6.3,1.928,0.976,2.854,0.607,156.3,32.545
6.4,1.942,0.987,2.849,0.624,155.85,33.466
6.5,1.926,0.992,2.84,0.642,155.456,34.524
6.6,1.936,0.983,2.846,0.634,155.621,34.005
6.7,1.944,0.993,2.843,0.632,155.674,33.931
6.8,1.963,0.987,2.856,0.608,156.283,32.568
6.9,1.942,0.989,2.843,0.638,155.591,34.272
7.0,1.957,1.004,2.837,0.645,155.449,34.678
