#z(nm),O-,O=C,OH,NC=O,NH2
-7.0,0.0,0.0,0.0,0.0,0.0
-6.9,0.0,0.0,0.0,0.0,0.002
-6.8,0.0,0.0,0.0,0.0,0.011
-6.7,0.0,0.001,0.0,0.0,0.017
-6.6,0.0,0.007,0.004,0.001,0.015
-6.5,0.0,0.022,0.011,0.004,0.016
-6.4,0.0,0.039,0.023,0.006,0.033
-6.3,0.0,0.033,0.022,0.007,0.037
-6.2,0.0,0.023,0.01,0.004,0.028
-6.1,0.0,0.009,0.004,0.002,0.046
-6.0,0.0,0.016,0.007,0.006,0.095
-5.9,0.0,0.074,0.019,0.031,0.186
-5.8,0.0,0.203,0.04,0.111,0.366
-5.7,0.0,0.395,0.082,0.254,0.486
-5.6,0.0,0.658,0.12,0.445,0.495
-5.5,0.0,1.032,0.176,0.726,0.469
-5.4,0.0,1.782,0.303,1.244,0.579
-5.3,0.0,1.628,0.337,1.134,0.557
-5.2,0.0,1.911,0.392,1.342,0.596
-5.1,0.0,2.431,0.407,1.753,0.65
-5.0,0.0,3.053,0.377,2.306,0.85
-4.9,0.0,3.357,0.303,2.611,1.074
-4.8,0.001,4.061,0.344,3.249,1.078
-4.7,0.004,4.641,0.526,3.665,1.052
-4.6,0.03,5.217,0.737,4.296,1.005
-4.5,0.01,6.647,0.872,5.36,1.199
-4.4,0.002,6.892,0.918,5.535,1.198
-4.3,0.028,6.539,0.826,5.604,1.249
-4.2,0.092,8.223,1.073,6.651,1.216
-4.1,0.129,10.206,1.61,7.534,1.359
-4.0,0.109,12.385,2.681,8.567,1.128
-3.9,0.087,12.432,2.59,9.97,1.034
-3.8,0.035,11.882,1.891,10.552,1.039
-3.7,0.021,11.697,1.266,11.118,1.128
-3.6,0.025,11.839,1.357,11.302,0.884
-3.5,0.333,12.406,1.662,11.379,0.703
-3.4,0.644,12.421,1.657,11.684,0.548
-3.3,0.242,10.622,1.605,9.369,0.535
-3.2,0.146,11.253,1.884,9.956,0.732
-3.1,0.081,11.885,1.717,10.051,0.664
-3.0,0.05,13.708,1.491,10.805,0.545
-2.9,0.042,17.248,2.139,12.991,0.398
-2.8,0.102,15.249,2.194,12.314,0.435
-2.7,0.329,12.063,1.865,9.413,0.496
-2.6,0.332,10.605,1.793,8.597,0.742
-2.5,0.349,11.101,1.715,9.85,0.575
-2.4,0.295,10.502,1.214,9.543,0.448
-2.3,0.136,10.731,1.359,9.463,0.64
-2.2,0.021,11.068,1.191,10.025,1.105
-2.1,0.012,13.245,1.599,11.363,1.045
-2.0,0.061,12.358,1.565,10.079,1.045
-1.9,0.082,10.055,1.634,8.431,0.495
-1.8,0.121,10.312,1.354,8.914,0.547
-1.7,0.191,10.508,1.081,9.374,0.418
-1.6,0.247,10.552,1.084,9.262,0.411
-1.5,0.174,11.081,1.352,9.666,0.502
-1.4,0.078,11.512,1.249,10.776,0.675
-1.3,0.017,11.571,1.423,10.454,0.608
-1.2,0.026,9.89,1.006,8.667,0.951
-1.1,0.054,10.02,1.137,8.925,0.94
-1.0,0.17,11.379,0.859,9.659,0.851
-0.9,0.336,12.535,0.9,11.753,0.633
-0.8,0.194,12.0,0.465,12.106,0.319
-0.7,0.488,13.215,0.908,12.874,0.138
-0.6,0.19,14.845,1.594,12.623,0.18
-0.5,0.268,13.759,1.589,11.878,0.857
-0.4,0.133,14.411,1.849,12.484,0.945
-0.3,0.078,14.197,1.573,12.486,0.526
-0.2,0.042,14.054,1.329,12.983,0.322
-0.1,0.145,12.061,0.707,12.986,0.045
-0.0,0.269,10.057,0.947,10.146,0.161
0.1,0.077,14.876,0.446,15.391,0.275
0.2,0.126,12.362,0.989,11.34,0.56
0.3,0.125,15.589,1.008,15.16,0.628
0.4,0.081,12.989,1.418,12.229,0.628
0.5,0.241,10.541,1.912,10.338,0.642
0.6,0.331,9.807,1.797,9.399,0.756
0.7,0.239,10.144,1.176,8.757,1.186
0.8,0.091,10.828,1.094,8.984,1.412
0.9,0.012,10.159,0.759,8.961,1.565
1.0,0.001,8.934,0.558,8.648,1.669
1.1,0.006,8.589,0.594,8.098,1.415
1.2,0.036,8.686,0.606,8.065,1.387
1.3,0.037,8.697,0.504,8.632,1.507
1.4,0.016,9.108,0.607,9.011,1.585
1.5,0.002,9.737,0.69,9.318,1.87
1.6,0.0,10.905,0.256,10.305,2.738
1.7,0.0,12.151,0.193,10.987,3.16
1.8,0.0,11.501,0.297,10.874,2.433
1.9,0.0,10.881,0.461,10.106,1.325
2.0,0.0,10.66,0.382,9.778,1.299
2.1,0.0,11.689,0.218,10.236,1.347
2.2,0.0,14.501,0.133,11.274,1.068
2.3,0.0,13.27,0.238,11.389,1.15
2.4,0.0,11.882,0.563,11.184,1.417
2.5,0.0,12.147,0.86,10.756,1.229
2.6,0.0,11.178,0.875,10.043,1.033
2.7,0.0,10.521,0.69,9.975,1.198
2.8,0.0,11.235,0.308,10.927,1.122
2.9,0.0,10.982,0.301,10.551,1.037
3.0,0.0,9.42,0.315,8.907,1.093
3.1,0.0,8.934,0.288,9.109,1.303
3.2,0.0,8.077,0.225,8.04,1.293
3.3,0.0,7.547,0.259,6.845,1.288
3.4,0.0,9.1,0.314,8.038,1.589
3.5,0.0,10.341,0.528,9.034,1.857
3.6,0.0,11.362,0.535,10.128,1.67
3.7,0.0,9.492,0.815,8.428,1.083
3.8,0.0,8.117,0.705,7.028,0.892
3.9,0.0,7.899,0.499,7.204,1.02
4.0,0.0,7.424,0.41,7.273,0.87
4.1,0.001,7.281,0.516,7.264,0.659
4.2,0.001,7.965,0.842,7.519,0.565
4.3,0.003,7.405,0.766,7.135,0.539
4.4,0.005,6.483,0.579,6.064,0.544
4.5,0.009,5.761,0.548,4.957,0.46
4.6,0.008,5.501,0.679,4.56,0.262
4.7,0.007,5.63,0.756,4.862,0.221
4.8,0.016,4.985,0.606,4.386,0.271
4.9,0.05,4.322,0.605,3.654,0.252
5.0,0.088,4.273,0.732,3.62,0.237
5.1,0.128,4.181,0.72,3.471,0.268
5.2,0.152,3.648,0.622,2.827,0.237
5.3,0.172,2.776,0.743,1.833,0.255
5.4,0.157,1.964,0.717,1.053,0.249
5.5,0.129,1.498,0.622,0.705,0.197
5.6,0.146,1.327,0.556,0.627,0.12
5.7,0.152,1.251,0.559,0.543,0.045
5.8,0.106,1.074,0.522,0.387,0.03
5.9,0.045,0.634,0.349,0.18,0.032
6.0,0.009,0.305,0.18,0.067,0.024
6.1,0.002,0.116,0.093,0.017,0.009
6.2,0.0,0.033,0.028,0.003,0.002
6.3,0.0,0.009,0.007,0.0,0.0
6.4,0.0,0.011,0.011,0.0,0.0
6.5,0.0,0.01,0.009,0.0,0.0
6.6,0.0,0.002,0.002,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0
