#z(nm),O-,O=C,OH,NC=O,NH2
-7.0,0.0,0.0,0.0,0.0,0.0
-6.9,0.0,0.0,0.0,0.0,0.0
-6.8,0.001,0.0,0.0,0.0,0.0
-6.7,0.015,0.0,0.0,0.0,0.002
-6.6,0.025,0.001,0.0,0.002,0.01
-6.5,0.039,0.011,0.001,0.01,0.016
-6.4,0.023,0.018,0.004,0.011,0.021
-6.3,0.105,0.032,0.016,0.009,0.02
-6.2,0.249,0.074,0.039,0.017,0.052
-6.1,0.553,0.214,0.079,0.066,0.192
-6.0,0.708,0.35,0.093,0.154,0.41
-5.9,0.75,0.503,0.123,0.246,0.599
-5.8,0.695,0.686,0.095,0.298,0.57
-5.7,0.776,0.849,0.16,0.333,0.555
-5.6,1.287,1.15,0.414,0.498,0.699
-5.5,1.696,1.921,0.577,1.078,1.096
-5.4,1.798,2.958,0.425,2.258,1.627
-5.3,2.32,3.418,0.365,2.645,1.828
-5.2,2.851,4.372,0.455,2.98,1.475
-5.1,3.917,4.722,0.29,3.349,1.042
-5.0,4.071,5.764,0.211,4.017,1.1
-4.9,4.421,7.781,0.266,5.699,1.194
-4.8,5.338,9.295,0.869,6.635,1.076
-4.7,6.331,11.421,1.312,7.581,0.836
-4.6,11.523,16.347,2.447,14.478,0.314
-4.5,10.954,15.213,1.37,10.75,0.286
-4.4,6.447,14.806,0.437,8.105,0.747
-4.3,12.235,18.298,3.176,8.665,0.65
-4.2,11.013,15.475,2.553,7.254,1.11
-4.1,12.797,7.668,1.202,3.86,3.407
-4.0,12.854,9.571,2.049,3.93,3.878
-3.9,8.245,9.448,0.809,6.681,1.246
-3.8,6.181,10.378,0.716,7.972,0.502
-3.7,5.476,13.494,1.183,10.103,0.699
-3.6,7.605,15.62,0.865,12.108,0.392
-3.5,16.334,16.812,2.685,7.516,0.122
-3.4,12.716,17.243,2.544,8.881,0.741
-3.3,4.719,19.41,1.726,13.443,0.872
-3.2,2.481,21.341,1.554,18.422,0.136
-3.1,2.341,17.853,1.063,17.112,0.284
-3.0,5.562,12.424,2.37,8.652,0.901
-2.9,6.96,12.663,1.313,7.619,1.112
-2.8,11.308,10.931,0.613,7.475,0.856
-2.7,9.113,13.159,1.052,11.04,1.303
-2.6,9.616,10.301,1.711,8.632,0.191
-2.5,8.371,9.586,1.946,7.504,0.065
-2.4,8.86,10.196,1.022,7.387,0.012
-2.3,6.635,12.892,0.815,9.533,0.01
-2.2,5.288,14.98,0.672,12.051,0.133
-2.1,4.813,10.585,0.19,9.888,0.889
-2.0,4.576,10.62,0.295,9.481,0.862
-1.9,8.744,10.111,0.875,9.393,0.497
-1.8,4.896,9.634,1.49,6.713,0.691
-1.7,3.529,14.052,2.002,8.222,0.958
-1.6,4.652,22.433,0.635,13.022,1.711
-1.5,2.283,17.569,1.774,12.343,0.589
-1.4,2.786,15.189,1.605,11.243,1.32
-1.3,3.478,13.732,0.993,9.765,1.976
-1.2,3.857,16.323,0.908,11.883,1.179
-1.1,1.617,19.54,0.994,13.852,1.664
-1.0,2.735,15.542,0.536,13.017,1.426
-0.9,3.707,11.21,1.194,7.42,4.173
-0.8,7.736,13.22,0.3,8.639,1.117
-0.7,7.205,16.274,0.041,10.687,0.121
-0.6,4.483,17.928,0.016,12.666,0.099
-0.5,6.22,15.563,0.224,11.458,0.227
-0.4,0.441,17.383,0.785,11.437,0.621
-0.3,0.03,20.298,0.097,14.458,0.86
-0.2,0.046,22.885,0.047,18.69,2.244
-0.1,0.823,22.111,0.2,17.958,2.222
-0.0,6.74,13.718,0.936,10.424,1.411
0.1,6.562,14.0,0.591,10.184,0.93
0.2,4.274,17.716,0.978,11.974,1.71
0.3,9.173,17.996,2.451,12.506,0.505
0.4,11.364,17.697,2.588,11.743,0.985
0.5,8.102,15.306,1.733,10.822,2.193
0.6,11.52,13.061,0.999,14.182,2.953
0.7,8.038,12.154,0.334,11.744,1.616
0.8,7.308,12.697,0.016,13.313,1.723
0.9,7.418,13.168,0.066,12.001,0.729
1.0,9.475,15.026,0.648,11.959,0.78
1.1,7.898,16.457,1.09,10.744,1.153
1.2,4.871,16.675,0.334,10.686,2.442
1.3,0.638,14.041,0.03,12.57,4.438
1.4,0.694,14.844,0.031,13.858,3.942
1.5,3.977,12.838,0.103,12.748,3.346
1.6,1.31,16.514,0.124,13.42,4.837
1.7,0.298,15.283,0.099,11.273,5.162
1.8,0.315,13.371,0.088,9.635,4.612
1.9,0.281,12.071,0.098,9.739,3.532
2.0,0.115,14.275,0.051,11.75,2.301
2.1,0.008,20.678,0.011,18.245,0.817
2.2,0.004,26.224,0.004,16.776,1.398
2.3,0.532,23.469,0.0,17.531,1.091
2.4,6.068,24.957,0.0,15.092,0.216
2.5,2.975,19.029,0.0,13.454,1.131
2.6,0.971,19.086,0.0,13.313,0.748
2.7,0.154,19.359,0.0,13.105,0.809
2.8,0.317,19.101,0.0,10.923,0.838
2.9,0.864,15.804,0.0,9.927,1.397
3.0,2.658,12.317,0.012,10.017,2.465
3.1,4.065,13.397,0.02,11.255,1.454
3.2,1.634,11.335,0.063,8.697,2.482
3.3,0.417,11.63,0.034,9.349,2.854
3.4,1.395,9.079,0.044,7.063,2.231
3.5,2.986,8.163,0.201,5.888,1.955
3.6,2.201,7.656,0.282,6.148,1.519
3.7,4.434,9.119,0.248,7.716,0.957
3.8,4.002,9.724,0.32,7.932,1.946
3.9,2.555,15.339,0.188,10.353,4.35
4.0,5.231,17.528,0.121,10.886,2.887
4.1,6.91,15.082,0.211,8.418,1.112
4.2,1.519,11.435,0.132,8.296,1.752
4.3,0.667,14.341,0.036,14.055,2.759
4.4,2.217,10.73,0.151,9.013,1.839
4.5,5.593,8.95,0.508,7.297,0.817
4.6,7.319,11.299,0.266,8.72,0.628
4.7,6.891,13.24,0.036,10.322,0.423
4.8,2.765,14.048,0.039,11.564,1.225
4.9,2.1,14.188,0.062,11.442,0.917
5.0,6.442,7.281,0.083,5.897,0.334
5.1,8.596,6.757,0.119,5.85,0.332
5.2,4.014,4.981,0.215,3.51,0.46
5.3,4.583,3.829,0.225,2.531,0.25
5.4,4.196,3.726,0.12,3.029,0.323
5.5,4.259,5.366,0.097,4.901,0.219
5.6,4.418,5.352,0.073,4.389,0.189
5.7,4.481,2.812,0.086,1.885,0.071
5.8,4.307,1.765,0.172,1.002,0.038
5.9,3.763,1.499,0.294,0.794,0.052
6.0,2.467,1.132,0.237,0.545,0.068
6.1,1.785,0.718,0.179,0.318,0.081
6.2,1.397,0.408,0.109,0.124,0.051
6.3,1.208,0.236,0.031,0.035,0.024
6.4,0.652,0.092,0.01,0.014,0.021
6.5,0.23,0.048,0.006,0.023,0.05
6.6,0.15,0.038,0.018,0.017,0.051
6.7,0.098,0.022,0.009,0.007,0.051
6.8,0.059,0.008,0.003,0.005,0.019
6.9,0.073,0.01,0.0,0.009,0.009
7.0,0.038,0.004,0.0,0.003,0.011
