#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-7.0,0.0,0.0,-0.0,374.074,-0.0,-113.428,0.001,997.033,0.0,-1849.128,-0.0,159.962,-0.0,1972.482,54.109,-1171.311,-0.002,-1291.355
-6.9,0.0,0.0,-0.0,321.245,-0.0,-101.962,-0.0,971.7,0.0,-1804.306,-0.0,149.166,-0.0,1907.713,54.25,-1198.955,-0.002,-1165.998
-6.8,0.0,0.0,-0.0,290.533,-0.0,-93.322,-0.001,929.215,-0.0,-1749.516,-0.0,139.521,-0.0,1833.634,54.552,-1213.442,-0.002,-1058.271
-6.7,0.0,0.0,-0.0,266.486,-0.0,-88.531,-0.002,883.281,-0.0,-1700.027,-0.002,133.037,-0.0,1776.965,54.079,-1196.94,-0.003,-990.579
-6.6,0.0,0.0,-0.0,229.363,-0.0,-84.568,-0.004,834.979,-0.001,-1646.121,0.001,127.78,-0.001,1719.12,54.487,-1168.322,-0.003,-929.74
-6.5,0.0,0.0,-0.001,194.281,-0.0,-79.777,-0.004,778.634,-0.002,-1589.032,0.006,122.443,-0.001,1653.084,54.599,-1142.724,-0.003,-861.844
-6.4,0.0,0.0,-0.001,166.412,-0.0,-77.146,-0.001,718.872,-0.003,-1541.753,0.003,119.018,-0.002,1597.31,54.554,-1101.086,-0.003,-806.201
-6.3,0.0,0.0,0.027,123.669,-0.002,-76.086,-0.008,669.983,-0.002,-1499.905,-0.002,114.558,-0.002,1545.792,55.124,-1075.2,-0.003,-725.461
-6.2,0.0,0.0,0.056,83.426,-0.005,-71.881,-0.005,616.878,-0.001,-1445.255,-0.005,106.454,-0.003,1479.074,54.976,-1055.721,-0.003,-639.556
-6.1,0.0,0.0,0.09,47.813,-0.007,-62.537,0.267,551.841,-0.003,-1370.356,-0.014,94.683,-0.008,1395.228,54.7,-1021.543,-0.004,-562.23
-6.0,0.0,0.0,0.173,2.386,-0.012,-50.502,0.299,500.04,-0.01,-1284.773,-0.03,82.521,-0.022,1307.911,55.091,-981.229,-0.004,-502.269
-5.9,0.0,0.0,0.153,-21.575,-0.01,-41.773,0.244,473.251,-0.014,-1200.023,-0.007,73.285,-0.044,1225.839,55.047,-960.3,-0.004,-477.789
-5.8,0.0,0.0,0.094,1.503,-0.014,-37.408,0.24,452.079,-0.019,-1122.174,0.005,69.739,-0.088,1149.025,55.497,-952.493,-0.004,-488.32
-5.7,0.0,0.0,0.029,18.665,-0.04,-32.465,0.454,397.006,0.001,-1054.265,-0.042,67.85,-0.136,1075.609,55.102,-930.296,-0.004,-473.146
-5.6,0.0,0.0,0.007,2.846,-0.073,-24.039,0.923,323.332,-0.01,-1003.647,-0.03,59.743,-0.158,1021.788,54.194,-878.791,-0.005,-431.147
-5.5,0.0,0.0,0.037,-36.41,-0.058,-15.249,1.389,262.699,-0.025,-947.992,0.112,43.074,-0.231,961.211,53.098,-824.895,-0.006,-372.563
-5.4,0.0,0.0,0.074,-75.941,-0.002,-11.697,1.449,206.425,0.101,-870.977,0.442,21.882,-0.424,871.634,52.79,-785.394,-0.009,-284.971
-5.3,0.0,0.0,0.179,-108.094,0.015,-7.464,1.802,133.583,0.187,-794.607,0.617,12.75,-0.538,775.878,52.713,-733.013,-0.006,-216.416
-5.2,0.0,0.0,0.158,-138.387,-0.152,-2.983,1.426,61.266,0.215,-704.919,-0.054,15.082,-0.691,677.79,53.893,-692.632,-0.007,-148.377
-5.1,0.0,0.0,0.157,-179.144,0.0,-1.351,2.385,-67.964,0.078,-612.984,-0.248,18.13,-0.876,576.938,53.339,-632.725,-0.008,-29.075
-5.0,0.0,0.0,0.081,-203.906,0.003,3.21,3.088,-135.001,0.297,-548.764,-0.342,14.594,-1.154,488.255,52.286,-621.953,-0.01,69.64
-4.9,0.0,0.0,-0.016,-254.508,-0.031,7.663,3.943,-229.537,0.703,-487.487,-0.352,8.379,-1.694,385.367,50.718,-564.338,-0.012,200.316
-4.8,0.0,0.0,-0.126,-347.72,-0.012,20.07,4.566,-320.525,0.673,-415.82,-0.467,-1.1,-1.96,281.87,50.571,-499.957,-0.021,352.683
-4.7,0.0,0.0,0.074,-365.162,0.506,29.759,6.201,-398.934,0.387,-336.234,-0.398,-10.037,-2.166,190.568,48.71,-453.179,-0.032,397.118
-4.6,0.0,0.0,0.125,-320.649,4.176,44.766,17.906,-619.17,-0.823,-218.706,-0.17,-10.662,-3.287,92.296,40.012,-300.554,-0.021,362.57
-4.5,0.0,0.0,0.039,-308.912,2.052,44.706,14.358,-655.33,-0.177,-177.697,-0.081,-10.229,-3.207,27.376,43.63,-281.169,-0.034,396.629
-4.4,0.0,0.0,0.073,-345.517,0.163,45.86,5.634,-547.694,0.539,-115.733,0.37,-10.963,-2.723,-56.543,48.781,-357.582,-0.044,447.579
-4.3,0.0,0.0,5.808,-633.14,-0.129,36.309,1.861,-572.331,4.453,-69.593,-0.059,-2.467,-2.536,-193.716,43.483,-372.158,-0.153,851.278
-4.2,0.0,0.0,4.397,-600.933,-0.134,41.439,2.696,-579.45,4.443,10.634,-0.006,-7.684,-2.18,-224.788,45.522,-379.81,-0.11,791.658
-4.1,0.0,0.0,5.381,-772.072,-0.014,61.963,6.083,-719.432,-0.264,160.279,0.481,-37.463,-1.478,-306.629,45.545,-376.413,-0.162,1030.509
-4.0,0.0,0.0,8.478,-920.12,0.0,71.532,5.232,-760.644,-0.093,206.981,0.719,-47.548,-1.734,-394.768,44.041,-327.645,-0.13,1208.777
-3.9,0.0,0.0,2.865,-704.846,-0.016,80.39,2.863,-766.283,-0.165,281.222,0.225,-34.777,-2.816,-483.087,50.236,-398.171,-0.052,1081.211
-3.8,0.0,0.0,1.475,-654.981,-0.03,86.37,2.211,-744.151,0.387,339.053,0.016,-34.106,-3.052,-581.739,51.667,-450.015,-0.066,1101.916
-3.7,0.0,0.0,2.64,-770.77,-0.035,89.794,0.816,-670.78,1.907,384.203,-0.02,-40.077,-3.454,-676.784,49.731,-445.996,-0.088,1196.094
-3.6,0.0,0.0,4.533,-927.444,-0.04,92.569,0.248,-663.164,3.856,431.359,-0.366,-44.272,-3.398,-747.914,47.177,-374.361,-0.131,1293.362
-3.5,0.0,0.0,7.54,-1089.783,-0.024,97.816,7.219,-960.95,0.983,612.792,-0.259,-31.716,-2.501,-804.639,44.454,-315.916,-0.21,1532.976
-3.4,0.0,0.0,4.392,-901.549,-0.005,101.54,6.523,-954.369,0.686,705.824,0.232,-41.82,-3.065,-891.857,46.042,-349.321,-0.126,1398.495
-3.3,0.0,0.0,1.627,-662.798,0.657,97.441,4.392,-790.664,0.892,738.682,0.01,-46.988,-4.417,-1015.276,47.781,-345.837,-0.003,1119.469
-3.2,0.0,0.0,1.95,-804.151,0.105,101.107,0.806,-655.722,1.805,796.308,-0.099,-54.331,-6.474,-1101.285,52.008,-387.066,-0.008,1185.946
-3.1,0.0,0.0,1.197,-790.146,-0.072,105.856,0.646,-708.371,3.769,861.847,-0.2,-55.294,-6.048,-1149.858,52.207,-423.425,-0.017,1224.541
-3.0,0.0,0.0,1.057,-736.286,0.038,114.406,5.239,-950.073,2.612,938.967,-0.317,-58.037,-3.48,-1195.557,46.499,-342.546,-0.044,1296.29
-2.9,0.0,0.0,1.715,-756.517,-0.195,132.137,5.491,-925.316,0.168,1012.01,-0.141,-69.052,-3.356,-1248.501,50.052,-344.336,-0.054,1260.668
