#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-2.8,0.0,0.0,6.338,-928.879,-0.237,160.573,5.377,-879.403,0.059,1046.273,0.159,-68.094,-3.459,-1285.929,48.148,-352.111,-0.124,1354.415
-2.7,0.0,0.0,6.309,-918.444,-0.279,157.821,3.163,-795.662,1.208,1095.593,0.098,-78.689,-4.234,-1365.378,48.979,-294.706,-0.071,1256.24
-2.6,0.0,0.0,6.672,-989.575,-0.304,168.123,3.104,-806.468,0.562,1134.926,0.085,-70.891,-3.651,-1375.357,49.135,-323.687,-0.027,1312.568
-2.5,0.0,0.0,8.096,-1026.904,-0.254,160.798,0.391,-751.761,-0.474,1181.556,-0.037,-69.693,-3.549,-1432.919,48.524,-321.352,-0.009,1326.975
-2.4,0.0,0.0,3.768,-880.983,0.015,151.809,2.982,-926.909,0.887,1208.798,-0.009,-67.6,-3.084,-1485.73,49.472,-310.744,-0.044,1374.521
-2.3,0.0,0.0,0.158,-707.796,0.203,150.358,2.372,-989.893,0.569,1258.444,-0.007,-64.478,-3.909,-1541.695,52.517,-363.077,-0.043,1316.354
-2.2,0.0,0.0,0.438,-696.172,0.028,156.427,0.811,-951.074,-0.116,1315.627,0.002,-66.465,-5.194,-1600.853,56.091,-355.814,-0.017,1256.371
-2.1,0.0,0.0,2.856,-792.023,-0.055,154.542,0.393,-849.581,1.022,1369.169,0.037,-79.253,-4.424,-1626.196,53.102,-394.559,-0.007,1274.867
-2.0,0.0,0.0,2.65,-802.83,-0.081,153.826,1.198,-839.809,0.841,1410.724,-0.009,-86.77,-4.227,-1654.957,53.82,-447.069,-0.012,1323.582
-1.9,0.0,0.0,8.039,-924.386,-0.063,145.768,4.868,-926.135,2.686,1421.458,-0.17,-85.446,-4.179,-1689.2,47.153,-342.367,-0.033,1440.894
-1.8,0.0,0.0,3.409,-888.97,-0.14,154.617,0.956,-869.985,0.727,1472.222,-0.188,-88.776,-2.85,-1715.96,51.35,-448.513,-0.022,1449.407
-1.7,0.0,0.0,0.953,-836.774,-0.32,160.518,2.35,-948.062,1.675,1503.069,-0.33,-98.567,-3.04,-1810.613,52.582,-463.735,-0.026,1549.349
-1.6,0.0,0.0,-0.031,-699.835,-0.169,174.75,6.385,-976.466,4.44,1486.08,-0.896,-113.945,-3.713,-1891.005,47.272,-302.207,-0.022,1365.237
-1.5,0.0,0.0,-0.099,-701.307,-0.054,172.299,1.028,-925.35,2.044,1569.552,-0.047,-112.244,-4.483,-1963.245,50.903,-415.785,-0.02,1449.453
-1.4,0.0,0.0,0.096,-681.575,0.462,160.745,0.65,-941.111,0.23,1633.604,0.193,-129.529,-3.922,-1979.085,51.892,-398.63,-0.02,1407.518
-1.3,0.0,0.0,0.114,-654.729,0.425,165.108,3.525,-1019.299,0.26,1695.585,0.556,-144.061,-3.592,-2000.52,51.01,-354.075,-0.021,1374.719
-1.2,0.0,0.0,0.013,-628.852,-0.061,174.498,5.669,-1034.499,4.15,1705.142,0.022,-130.108,-4.818,-2031.965,47.627,-323.198,-0.01,1326.442
-1.1,0.0,0.0,0.006,-623.371,0.415,156.734,0.636,-876.578,5.36,1649.346,-0.369,-135.935,-4.436,-1973.654,50.018,-421.557,-0.005,1281.271
-1.0,0.0,0.0,0.063,-651.324,0.427,163.772,0.145,-906.735,5.403,1678.706,0.068,-125.691,-4.493,-1963.726,51.85,-447.638,-0.009,1315.784
-0.9,0.0,0.0,0.184,-623.528,0.077,151.566,2.89,-967.631,0.242,1727.154,1.433,-192.293,-1.854,-1983.629,49.722,-476.519,-0.055,1421.943
-0.8,0.0,0.0,4.744,-764.044,-0.097,180.076,5.509,-1135.63,2.337,1766.277,0.574,-145.283,-3.194,-2057.682,45.679,-379.08,-0.158,1594.949
-0.7,0.0,0.0,6.01,-784.031,-0.103,185.744,4.293,-1167.025,3.329,1786.192,-0.005,-131.495,-3.75,-2120.025,44.176,-298.727,-0.125,1592.832
-0.6,0.0,0.0,1.269,-637.875,-0.034,176.036,4.129,-1091.9,4.748,1833.714,0.037,-134.249,-5.108,-2205.76,44.504,-212.392,-0.045,1343.998
-0.5,0.0,0.0,0.201,-591.016,-0.027,159.43,6.567,-1162.374,0.265,1999.716,0.036,-149.432,-6.118,-2259.055,46.74,-251.864,-0.06,1325.718
-0.4,0.0,0.0,1.063,-544.906,-0.04,161.415,0.258,-888.946,2.803,1884.221,0.096,-156.719,-4.813,-2181.902,50.417,-371.652,-0.008,1173.398
-0.3,0.0,0.0,0.082,-493.471,-0.019,152.563,-0.075,-849.063,6.441,1799.33,0.259,-156.194,-4.856,-2192.178,47.799,-352.86,-0.003,1161.327
-0.2,0.0,0.0,-0.012,-461.364,-0.009,144.154,0.22,-836.994,5.445,1900.466,2.895,-236.669,-6.146,-2185.118,48.014,-321.454,-0.001,1075.366
-0.1,0.0,0.0,0.012,-453.719,-0.034,142.058,0.509,-855.139,6.479,1906.232,2.266,-236.23,-6.046,-2184.641,47.871,-297.601,-0.001,1057.534
-0.0,0.0,0.0,0.291,-483.27,-0.173,143.523,4.788,-1085.542,1.131,1925.69,-0.261,-162.571,-4.175,-2139.964,51.325,-266.869,-0.008,1151.347
0.1,0.0,0.0,1.226,-457.963,-0.168,140.453,2.621,-1067.38,-0.171,1921.954,-0.217,-156.977,-3.794,-2134.447,53.038,-306.631,-0.015,1135.795
0.2,0.0,0.0,1.958,-485.162,-0.072,126.192,0.132,-993.271,-0.379,1909.622,0.785,-168.322,-4.264,-2132.787,54.092,-368.413,-0.018,1189.131
0.3,0.0,0.0,6.403,-589.461,0.18,100.823,3.048,-978.824,2.644,1911.084,0.114,-157.323,-4.018,-2089.675,46.569,-232.919,-0.047,1091.583
0.4,0.0,0.0,8.406,-636.841,-0.253,104.723,3.437,-983.197,3.386,1907.675,0.558,-167.253,-3.575,-2095.082,42.022,-218.124,-0.073,1141.433
0.5,0.0,0.0,6.57,-573.306,-0.17,123.795,3.029,-1008.419,1.002,1917.21,1.649,-185.784,-3.544,-2116.791,44.651,-275.307,-0.028,1177.438
0.6,0.0,0.0,8.958,-613.503,-0.136,128.279,4.968,-1047.974,-0.186,1921.513,2.943,-196.957,-5.585,-2091.906,40.886,-209.307,-0.095,1182.834
0.7,0.0,0.0,6.137,-537.662,-0.083,113.178,3.44,-935.971,-0.526,1961.136,0.672,-170.244,-4.522,-2103.295,48.11,-293.59,-0.031,1043.907
0.8,0.0,0.0,2.432,-418.92,-0.029,114.846,6.098,-987.351,0.827,1956.591,-0.379,-162.483,-5.076,-2088.428,49.636,-311.114,-0.007,967.16
0.9,0.0,0.0,2.147,-350.377,-0.024,117.986,8.44,-1005.838,0.963,1953.929,0.094,-178.964,-5.715,-2073.559,47.862,-285.229,-0.017,881.12
1.0,0.0,0.0,4.564,-364.899,-0.06,98.876,4.674,-886.046,0.518,1930.206,-0.322,-193.634,-4.31,-2020.571,50.085,-283.661,-0.064,768.07
1.1,0.0,0.0,3.093,-304.421,-0.039,93.475,4.709,-858.796,0.828,1903.975,-0.196,-200.493,-3.775,-1997.809,49.053,-279.444,-0.054,697.15
1.2,0.0,0.0,0.612,-224.556,-0.016,86.023,5.176,-819.25,1.226,1883.814,0.694,-217.079,-3.303,-1968.889,48.684,-285.849,-0.009,594.073
1.3,0.0,0.0,0.006,-181.733,-0.01,81.731,0.391,-642.461,2.766,1894.546,0.941,-262.276,-3.16,-1964.776,50.631,-366.392,-0.001,510.135
1.4,0.0,0.0,-0.001,-167.71,-0.009,78.838,0.422,-585.742,5.612,1836.76,1.906,-279.381,-2.68,-1961.175,45.096,-323.74,-0.002,475.644
1.5,0.0,0.0,-0.0,-113.233,-0.008,85.744,5.8,-730.037,3.575,1826.107,-0.64,-209.844,-3.348,-1906.41,48.574,-402.211,-0.0,509.041
1.6,0.0,0.0,0.043,-107.897,-0.003,77.307,2.096,-704.957,3.98,1770.024,-1.322,-223.119,-4.162,-1926.248,49.881,-381.787,-0.0,571.442
1.7,0.0,0.0,0.003,-74.194,-0.002,66.23,0.374,-640.115,2.497,1723.732,0.137,-225.682,-3.895,-1856.442,53.202,-447.371,-0.0,515.66
1.8,0.0,0.0,-0.013,-46.655,-0.007,58.287,0.106,-603.36,0.879,1677.234,0.612,-216.872,-3.448,-1778.382,55.32,-484.229,-0.0,452.578
1.9,0.0,0.0,-0.003,-20.482,-0.019,55.296,0.142,-562.961,1.021,1638.28,0.251,-200.258,-3.477,-1729.978,55.529,-503.686,-0.001,388.204
2.0,0.0,0.0,-0.0,-20.325,-0.01,52.045,0.0,-541.87,3.655,1568.011,-0.444,-188.964,-4.096,-1682.857,51.789,-471.342,-0.001,345.667
2.1,0.0,0.0,-0.0,12.273,-0.001,46.633,-0.078,-534.744,7.55,1479.899,-0.333,-180.121,-5.587,-1666.996,44.903,-377.299,-0.0,285.716
2.2,0.0,0.0,-0.0,31.426,-0.005,29.271,-0.025,-451.844,6.91,1441.489,-0.417,-164.207,-4.741,-1706.942,49.039,-368.858,-0.0,252.083
2.3,0.0,0.0,-0.0,33.111,-0.004,29.697,0.761,-497.656,6.079,1445.453,-0.626,-161.738,-5.111,-1681.905,51.109,-392.204,-0.003,284.835
2.4,0.0,0.0,-0.0,54.153,-0.026,21.638,8.595,-696.234,3.011,1388.868,-0.493,-172.476,-3.507,-1582.082,44.735,-342.274,-0.092,382.228
2.5,0.0,0.0,-0.0,74.906,-0.022,26.763,2.87,-622.192,1.821,1420.719,-0.809,-182.652,-3.617,-1525.63,51.836,-344.91,-0.022,213.459
2.6,0.0,0.0,0.0,116.65,-0.011,24.055,0.786,-494.438,4.394,1312.238,-0.89,-161.997,-4.043,-1460.488,51.544,-365.23,-0.002,97.963
2.7,0.0,0.0,-0.0,160.902,-0.005,18.517,0.025,-389.734,5.864,1188.239,-0.368,-149.662,-4.301,-1386.768,48.638,-387.758,-0.001,16.643
2.8,0.0,0.0,0.0,133.004,-0.001,7.998,-0.059,-351.657,4.68,1121.404,-0.255,-149.388,-3.679,-1320.901,50.659,-414.422,-0.003,48.447
2.9,0.0,0.0,0.0,141.812,0.0,3.605,-0.1,-355.736,3.687,1090.481,-0.367,-146.207,-3.155,-1260.771,52.483,-466.159,-0.005,68.286
3.0,0.0,0.0,0.0,161.798,-0.037,-3.249,0.925,-406.541,2.052,1086.725,-0.689,-149.289,-2.949,-1167.238,53.1,-495.233,-0.006,42.612
3.1,0.0,0.0,0.0,180.772,-0.296,-3.185,4.148,-446.852,4.133,1005.332,-0.609,-137.341,-3.657,-1107.307,49.743,-412.978,-0.013,-19.594
3.2,0.0,0.0,0.0,210.335,-0.049,-4.609,1.487,-359.123,1.356,998.162,-0.092,-146.295,-2.71,-1021.054,52.331,-523.334,-0.009,-85.938
3.3,0.0,0.0,0.0,212.194,0.019,-6.155,0.344,-356.317,2.746,935.249,0.96,-149.997,-2.799,-959.154,51.056,-508.469,-0.002,-97.685
3.4,0.0,0.0,-0.0,252.958,-0.013,-13.2,1.368,-375.737,1.592,887.244,0.094,-126.778,-2.255,-872.048,51.668,-505.561,-0.002,-167.94
3.5,0.0,0.0,-0.005,286.117,-0.027,-19.719,3.365,-414.525,1.289,824.477,-0.126,-114.486,-2.067,-793.595,49.809,-489.587,-0.006,-199.02
3.6,0.0,0.0,-0.037,232.486,-0.008,-23.832,2.061,-404.351,1.173,741.336,-0.059,-107.214,-2.304,-724.625,51.555,-525.223,-0.015,-109.304
3.7,0.0,0.0,-0.024,202.892,0.002,-30.597,4.702,-511.748,1.992,678.179,0.028,-95.504,-2.747,-662.746,49.549,-446.652,-0.019,-73.284
3.8,0.0,0.0,0.015,233.149,-0.025,-37.857,3.095,-496.334,0.575,627.998,0.41,-95.729,-2.809,-606.501,51.964,-447.564,-0.024,-110.093
3.9,0.0,0.0,-0.002,288.107,-0.032,-45.991,1.352,-418.247,0.85,523.652,0.088,-108.625,-3.374,-558.63,53.697,-434.199,-0.016,-177.457
4.0,0.0,0.0,0.0,293.712,-0.013,-45.6,6.098,-471.985,1.802,409.736,-0.773,-86.369,-3.672,-501.793,49.633,-352.62,-0.043,-189.314
4.1,0.0,0.0,-0.0,310.035,-0.053,-46.151,8.78,-491.993,-0.355,370.38,-0.451,-64.41,-3.02,-422.388,51.166,-354.927,-0.046,-254.126
4.2,0.0,0.0,-0.0,338.636,-0.019,-54.943,1.791,-224.215,1.429,270.462,0.194,-65.896,-2.661,-299.045,51.727,-551.355,-0.011,-345.238
4.3,0.0,0.0,-0.0,331.281,0.036,-60.364,-0.048,-167.964,6.25,163.495,2.169,-92.178,-3.96,-265.961,45.399,-452.661,-0.007,-383.376
4.4,0.0,0.0,-0.0,369.716,0.015,-61.885,1.225,-236.524,2.765,119.852,1.121,-55.617,-2.774,-159.822,51.232,-482.323,-0.01,-424.682
4.5,0.0,0.0,-0.001,382.702,-0.033,-62.5,5.924,-434.3,0.698,49.751,0.102,-26.282,-2.123,-47.069,50.38,-367.469,-0.015,-426.509
4.6,0.0,0.0,-0.006,362.271,-0.246,-61.647,7.378,-542.615,1.328,-54.692,-0.17,-12.396,-2.691,36.088,48.47,-254.731,-0.025,-389.777
4.7,0.0,0.0,-0.02,348.22,0.506,-75.549,4.972,-449.487,1.502,-137.655,-0.106,0.9,-3.206,106.529,47.789,-277.487,-0.027,-405.077
4.8,0.0,0.0,-0.004,397.973,1.827,-85.852,2.027,-194.448,2.195,-241.886,-0.064,13.176,-3.197,174.073,47.924,-399.675,-0.01,-578.235
4.9,0.0,0.0,-0.001,401.376,2.81,-93.051,1.221,-128.659,2.374,-323.646,-0.194,24.443,-3.019,254.101,48.274,-431.519,-0.011,-623.864
5.0,0.0,0.0,0.038,415.009,0.118,-85.607,6.18,-218.672,1.47,-360.094,0.062,33.011,-2.239,378.422,47.719,-433.521,-0.059,-667.986
5.1,0.0,0.0,0.034,431.875,-0.0,-89.741,8.539,-297.004,2.031,-422.73,0.107,39.794,-2.259,442.581,44.902,-381.362,-0.08,-674.161
5.2,0.0,0.0,0.367,383.315,0.0,-88.358,2.621,-58.446,0.597,-533.341,0.045,44.67,-1.234,586.304,52.47,-517.96,-0.012,-756.935
5.3,0.0,0.0,0.756,375.012,-0.009,-94.427,2.987,-30.526,0.11,-620.438,0.002,52.401,-0.94,688.151,52.169,-545.142,-0.011,-766.301
5.4,0.0,0.0,0.442,391.781,-0.018,-101.785,3.225,13.549,0.155,-701.195,-0.094,57.105,-1.062,766.357,51.866,-572.263,-0.01,-789.459
5.5,0.0,0.0,0.196,422.832,-0.006,-106.937,4.151,24.329,0.989,-766.225,0.008,64.037,-1.586,813.179,50.456,-549.164,-0.008,-840.028
5.6,0.0,0.0,0.276,436.456,-0.007,-109.59,3.769,57.204,1.039,-825.971,-0.044,70.861,-1.466,879.51,51.085,-575.09,-0.011,-868.764
5.7,0.0,0.0,0.398,467.274,0.009,-112.1,3.538,85.222,-0.016,-895.103,-0.049,81.094,-0.711,984.567,52.249,-646.775,-0.015,-900.849
5.8,0.0,0.0,0.495,489.668,-0.01,-114.538,3.614,114.287,-0.031,-975.836,-0.011,89.634,-0.453,1072.474,51.797,-669.716,-0.017,-941.409
5.9,0.0,0.0,0.319,506.721,0.002,-117.256,3.141,189.136,-0.014,-1052.262,-0.001,96.609,-0.362,1143.503,52.035,-715.98,-0.013,-985.68
6.0,0.0,0.0,0.059,516.437,-0.006,-122.822,1.717,305.721,-0.024,-1131.118,-0.011,103.818,-0.247,1220.716,54.055,-802.866,-0.008,-1027.509
6.1,0.0,0.0,0.057,515.415,-0.019,-127.63,1.019,387.448,-0.026,-1208.954,-0.021,111.872,-0.141,1303.991,54.312,-859.672,-0.007,-1057.158
6.2,0.0,0.0,0.006,523.4,-0.009,-131.601,0.787,434.2,-0.008,-1277.162,-0.01,120.519,-0.065,1381.584,54.743,-884.208,-0.007,-1092.828
6.3,0.0,0.0,-0.002,546.545,-0.003,-134.573,0.928,473.351,-0.001,-1344.862,-0.005,129.776,-0.028,1452.598,54.483,-905.967,-0.006,-1145.146
6.4,0.0,0.0,0.029,554.273,-0.001,-136.625,0.344,545.556,-0.002,-1402.515,-0.004,135.914,-0.011,1512.012,54.886,-965.678,-0.005,-1176.472
6.5,0.0,0.0,0.035,539.755,-0.0,-137.041,0.004,622.796,-0.003,-1451.791,-0.008,139.452,-0.007,1568.542,54.872,-992.415,-0.004,-1217.733
6.6,0.0,0.0,0.049,532.888,-0.0,-137.716,-0.005,689.159,-0.002,-1500.11,-0.017,144.983,-0.004,1628.43,55.152,-1011.745,-0.004,-1276.814
6.7,0.0,0.0,0.023,543.154,-0.0,-140.058,0.002,746.263,-0.001,-1552.774,-0.02,151.204,-0.003,1685.535,54.476,-1028.047,-0.003,-1332.349
6.8,0.0,0.0,-0.003,547.737,0.0,-143.946,0.034,799.151,-0.0,-1614.269,-0.005,154.661,-0.002,1745.645,54.342,-1054.596,-0.003,-1357.225
6.9,0.0,0.0,0.002,542.829,-0.0,-146.862,0.059,846.414,-0.0,-1680.736,-0.003,157.088,-0.001,1813.758,55.092,-1092.617,-0.003,-1363.527
7.0,0.0,0.0,-0.0,525.023,0.0,-144.853,0.03,908.848,-0.0,-1759.645,0.002,163.259,-0.0,1898.067,55.07,-1135.951,-0.002,-1380.817
