#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
1.9,-0.0,2.079,-0.0,-119.623,0.378,143.341,0.0,0.0,0.762,1740.151,0.651,-208.489,-4.01,-1873.526,54.865,-698.959,-0.001,68.916
2.0,0.0,1.356,0.0,-106.62,0.124,145.943,0.0,0.0,1.259,1687.873,-0.353,-190.546,-3.526,-1843.988,55.247,-704.954,-0.001,61.626
2.1,0.0,-3.688,0.0,-69.415,-0.005,144.717,0.0,0.0,6.325,1502.831,-0.765,-196.474,-3.729,-1806.635,50.465,-628.894,-0.0,101.288
2.2,0.0,-2.318,0.0,-48.676,-0.104,125.123,0.0,0.0,2.708,1539.519,-0.587,-182.429,-4.362,-1767.524,54.136,-680.743,-0.0,73.526
2.3,0.0,-2.317,0.0,-41.222,-0.237,104.305,0.0,0.0,7.891,1425.323,-0.508,-172.654,-5.084,-1716.622,48.269,-623.844,-0.0,76.598
2.4,0.0,-2.429,0.0,-23.852,-0.295,99.081,0.0,0.0,7.527,1378.564,-0.628,-175.621,-4.684,-1678.72,48.405,-643.355,-0.001,94.245
2.5,0.0,-2.559,0.0,-36.853,0.001,88.003,0.0,0.0,9.646,1308.167,-0.224,-171.533,-4.975,-1699.49,44.766,-629.057,-0.002,204.974
2.6,-0.0,-3.68,0.0,-52.451,1.0,55.486,0.0,0.0,3.849,1240.381,-0.198,-147.694,-5.235,-1520.259,46.454,-587.248,-0.0,85.304
2.7,0.0,-4.391,0.0,-42.735,0.925,47.833,0.0,0.0,3.551,1212.136,-0.161,-140.7,-5.127,-1468.045,48.827,-602.556,-0.0,66.0
2.8,0.0,-3.856,0.0,13.119,1.748,52.813,0.0,0.0,2.788,1224.873,-0.685,-154.077,-3.42,-1366.815,54.292,-705.323,-0.0,-9.094
2.9,0.0,-3.528,0.0,27.436,2.877,43.529,0.0,0.0,7.966,1129.377,-0.811,-165.786,-3.43,-1303.565,47.199,-674.414,-0.0,4.357
3.0,-0.0,-3.306,0.0,24.542,0.407,60.01,0.0,0.0,4.148,1107.729,-0.262,-142.91,-2.998,-1217.825,52.0,-733.624,-0.0,-34.396
3.1,-0.0,-3.024,0.0,11.614,-0.223,42.27,0.0,0.0,6.408,986.865,-0.082,-125.993,-4.148,-1191.765,49.49,-634.181,-0.0,-33.317
3.2,-0.0,-2.4,-0.0,29.311,-0.252,28.966,0.0,0.0,4.708,963.451,0.722,-137.819,-3.223,-1101.565,51.432,-710.164,-0.0,-20.291
3.3,-0.016,0.665,0.0,37.349,0.07,35.561,0.0,0.0,4.089,965.842,2.8,-164.546,-3.058,-999.719,49.383,-791.016,-0.0,-26.925
3.4,-0.009,-4.777,0.0,37.517,0.187,32.689,0.0,0.0,1.399,921.689,0.756,-150.152,-2.383,-928.31,53.853,-822.859,-0.0,-31.385
3.5,-0.001,-7.652,0.0,49.972,-0.312,26.961,0.0,0.0,-0.122,843.386,0.601,-145.441,-2.458,-862.702,57.069,-817.218,-0.0,-33.618
3.6,-0.002,-6.299,-0.0,70.93,-0.157,13.207,0.0,0.0,0.576,751.811,-0.494,-134.012,-2.592,-790.584,57.079,-806.108,-0.0,-45.475
3.7,-0.005,-6.202,-0.0,87.093,-0.051,1.39,0.0,0.0,1.451,665.082,-0.548,-127.77,-2.575,-714.623,55.557,-798.785,-0.0,-54.477
3.8,-0.006,-8.19,-0.0,92.118,0.417,-9.019,0.0,0.0,1.549,564.996,-0.084,-104.266,-2.726,-637.875,54.692,-791.432,-0.0,-56.077
3.9,-0.002,-8.894,-0.0,96.925,1.084,-23.381,0.0,0.0,2.668,470.705,-0.404,-80.956,-2.988,-566.024,53.731,-772.713,-0.0,-56.162
4.0,-0.0,-8.559,-0.0,101.819,0.228,-18.89,0.0,0.0,3.483,390.84,-0.418,-62.343,-3.027,-476.673,52.634,-801.602,-0.0,-66.779
4.1,-0.0,-8.079,-0.0,106.773,0.133,-35.18,0.0,0.0,1.038,352.887,0.153,-64.69,-2.399,-351.662,55.704,-860.326,-0.0,-78.581
4.2,-0.001,-9.771,-0.0,120.711,0.086,-37.336,0.0,0.0,0.506,278.477,0.027,-55.422,-2.134,-250.461,56.166,-906.986,-0.0,-74.256
4.3,-0.014,-12.115,-0.0,130.635,0.079,-43.542,0.0,0.0,2.917,156.797,-0.256,-46.937,-2.31,-181.883,53.223,-872.087,-0.001,-70.461
4.4,-0.004,-12.549,0.002,137.566,0.188,-45.615,0.0,0.0,3.566,76.476,-0.522,-42.094,-2.435,-114.512,52.165,-867.808,-0.0,-76.429
4.5,0.014,-13.425,0.091,133.729,0.116,-46.651,0.0,0.0,2.444,16.616,-0.389,-29.151,-2.395,-32.862,52.604,-883.781,-0.0,-80.074
