#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-7.0,-0.0,0.009,0.0,-0.143,0.0,0.167,0.0,0.0,0.0,0.884,-0.0,-0.093,-0.0,-0.974,29.268,-282.124,0.08,-0.855
-6.9,0.0,0.009,0.0,-0.142,0.0,0.167,0.0,0.0,0.0,0.855,-0.001,-0.093,-0.0,-0.95,29.044,-286.252,0.073,-0.828
-6.8,0.0,0.009,-0.0,-0.15,0.0,0.172,0.0,0.0,-0.0,0.898,-0.004,-0.1,0.0,-0.996,29.096,-290.486,0.057,-0.689
-6.7,-0.0,0.006,0.0,-0.101,-0.0,0.121,0.0,0.0,-0.0,0.65,-0.006,-0.077,-0.0,-0.72,29.479,-281.413,0.061,-0.651
-6.6,-0.0,0.01,-0.0,-0.172,-0.002,0.188,0.0,0.0,-0.0,1.015,-0.006,-0.12,-0.0,-1.128,29.477,-270.741,0.061,-0.618
-6.5,0.0,0.01,-0.0,-0.182,-0.006,0.193,0.0,0.0,-0.0,1.099,-0.009,-0.13,-0.0,-1.226,29.597,-278.63,0.054,-0.598
-6.4,-0.0,0.011,0.0,-0.199,-0.008,0.199,0.0,0.0,-0.0,1.196,-0.016,-0.155,-0.001,-1.333,29.599,-285.399,0.075,-0.769
-6.3,-0.0,0.012,0.0,-0.205,-0.009,0.214,0.0,0.0,-0.0,1.258,-0.016,-0.158,-0.001,-1.389,28.973,-286.306,0.05,-0.624
-6.2,-0.0,0.013,-0.0,-0.201,-0.006,0.225,0.0,0.0,-0.0,1.233,-0.01,-0.147,-0.001,-1.364,29.952,-278.291,0.061,-0.658
-6.1,-0.0,0.009,-0.0,-0.163,-0.003,0.198,0.0,0.0,-0.001,1.001,-0.018,-0.124,-0.0,-1.123,29.424,-274.109,0.061,-0.654
-6.0,-0.0,0.011,-0.0,-0.196,-0.003,0.222,0.0,0.0,-0.003,1.251,-0.04,-0.175,-0.001,-1.391,29.408,-275.737,0.08,-0.819
-5.9,-0.0,0.011,0.0,-0.234,-0.009,0.27,0.0,0.0,-0.01,1.401,-0.09,-0.271,-0.004,-1.583,28.575,-281.846,0.062,-0.551
