#z (nm),TMC1 LJ (kJ/mol),TMC1 Coul (kJ/mol),TCq1 LJ (kJ/mol),TCq1 Coul (kJ/mol),TMC2 LJ (kJ/mol),TMC2 Coul (kJ/mol),TCq2 LJ (kJ/mol),TCq2 Coul (kJ/mol),TMC3 LJ (kJ/mol),TMC3 Coul (kJ/mol),MPD1 LJ (kJ/mol),MPD1 Coul (kJ/mol),MPD2 LJ (kJ/mol),MPD2 Coul (kJ/mol),SOL LJ (kJ/mol),SOL Coul (kJ/mol),SOD LJ (kJ/mol),SOD Coul (kJ/mol)
-5.8,-0.001,0.013,-0.0,-0.215,-0.019,0.219,0.0,0.0,-0.033,1.277,-0.166,-0.391,-0.016,-1.474,28.935,-286.299,0.049,-0.421
-5.7,-0.001,0.011,0.0,-0.234,-0.039,0.222,0.0,0.0,-0.066,1.38,-0.22,-0.525,-0.056,-1.633,29.553,-274.403,0.049,-0.464
-5.6,-0.005,0.018,0.0,-0.299,-0.052,0.218,0.0,0.0,-0.112,1.553,-0.215,-0.61,-0.121,-2.061,29.17,-270.031,0.089,-0.919
-5.5,-0.013,-0.03,-0.0,-0.308,-0.061,0.144,0.0,0.0,-0.161,1.448,-0.24,-0.58,-0.182,-2.43,29.343,-272.368,0.136,-1.513
-5.4,-0.018,-0.059,-0.0,-0.516,-0.097,0.286,0.0,0.0,-0.262,1.925,-0.316,-0.901,-0.269,-4.067,28.931,-277.977,0.12,-1.166
-5.3,-0.015,-0.048,-0.0,-0.334,-0.135,-0.11,0.0,0.0,-0.27,1.669,-0.286,-0.7,-0.357,-2.475,29.737,-286.34,0.104,-1.094
-5.2,-0.009,-0.017,-0.0,-0.462,-0.183,-0.128,0.0,0.0,-0.273,2.231,-0.317,-0.893,-0.4,-3.599,30.386,-287.101,0.096,-0.801
-5.1,-0.018,-0.013,-0.0,-0.599,-0.141,-0.19,0.0,0.0,-0.366,2.905,-0.355,-1.023,-0.566,-4.604,30.543,-293.37,0.112,-1.021
-5.0,-0.033,-0.057,-0.0,-0.74,-0.151,-0.121,0.0,0.0,-0.507,3.388,-0.429,-1.259,-0.743,-5.724,30.504,-292.937,0.122,-1.126
-4.9,-0.027,-0.038,-0.001,-0.848,-0.15,0.136,0.0,0.0,-0.587,3.558,-0.494,-1.504,-0.787,-6.558,30.658,-291.868,0.071,-0.619
-4.8,-0.022,0.001,-0.002,-0.692,-0.216,0.22,0.0,0.0,-0.435,1.707,-0.615,-1.388,-0.784,-6.907,30.038,-279.829,0.072,-0.816
-4.7,-0.004,-0.214,-0.002,-0.685,-0.236,-0.216,0.0,0.0,-0.456,1.48,-0.689,-1.598,-0.753,-7.295,29.198,-283.089,0.064,-0.666
-4.6,0.006,-0.393,-0.002,-0.752,-0.337,-1.323,0.0,0.0,-0.734,1.842,-0.589,-1.557,-1.165,-6.08,29.841,-279.506,0.068,-0.528
-4.5,-0.011,-0.164,-0.001,-0.377,-0.445,-2.495,0.0,0.0,-0.946,1.087,-0.581,-2.216,-1.368,-5.763,30.254,-283.897,0.042,-0.951
-4.4,-0.02,-0.025,-0.002,-0.17,-0.321,-2.929,0.0,0.0,-1.032,-0.173,-0.548,-1.764,-1.54,-4.587,30.396,-276.429,0.167,-1.993
-4.3,-0.04,0.036,-0.009,-0.764,-0.342,-1.515,0.0,0.0,-1.008,1.08,-0.502,-1.751,-1.818,-5.951,30.534,-282.306,0.047,-0.296
-4.2,-0.05,-0.042,-0.042,-1.16,-0.107,-2.913,0.0,0.0,-1.266,-0.313,-0.556,-1.514,-1.871,-7.507,29.912,-275.21,0.021,0.116
-4.1,-0.079,-0.147,-0.126,-1.946,0.127,-3.775,0.0,0.0,-1.494,1.453,-0.599,-1.765,-2.268,-10.462,30.488,-271.687,0.004,0.397
-4.0,-0.076,-0.834,-0.117,-2.403,-0.553,-3.929,0.0,0.0,-1.676,0.499,-0.431,-1.531,-2.599,-10.411,31.254,-272.564,-0.0,0.202
-3.9,-0.062,-1.279,-0.085,-0.614,-0.562,-3.572,0.0,0.0,-1.95,-3.959,-0.434,-1.663,-3.034,-7.589,30.537,-264.982,-0.0,0.027
-3.8,-0.003,-1.37,-0.06,-0.387,-0.496,-2.742,0.0,0.0,-2.276,-3.754,-0.442,-1.516,-3.33,-5.996,30.828,-270.57,0.01,-0.226
-3.7,0.054,-1.445,-0.021,-0.779,-0.37,-2.367,0.0,0.0,-2.23,-2.625,-0.435,-1.531,-3.375,-9.385,30.259,-269.859,0.026,-0.388
-3.6,-0.008,-0.318,-0.022,-0.38,-0.295,-3.656,0.0,0.0,-1.738,-7.435,-0.348,-1.419,-2.755,-11.075,28.804,-256.41,0.024,-1.828
-3.5,-0.1,-0.589,0.496,-3.607,-0.305,-3.736,0.0,0.0,-2.472,-6.52,-0.321,-0.696,-2.954,-8.532,30.233,-254.606,0.004,0.062
-3.4,-0.004,-1.298,0.691,-6.604,-0.356,-0.954,0.0,0.0,-2.095,-3.068,0.03,-1.988,-3.369,-9.984,29.916,-242.942,-0.0,0.485
-3.3,0.029,-1.49,-0.097,-1.404,-0.522,-1.982,0.0,0.0,-1.742,-2.577,0.027,-1.469,-2.902,-8.542,30.077,-263.81,-0.0,0.44
-3.2,0.003,-1.012,-0.101,-0.347,-0.75,-3.86,0.0,0.0,-1.76,-2.481,0.04,-2.128,-3.191,-8.851,30.439,-267.89,0.008,0.287
-3.1,-0.041,-1.146,-0.071,-0.185,-0.444,-3.893,0.0,0.0,-1.911,-1.719,-0.24,-0.78,-3.005,-8.369,30.741,-274.529,0.231,-1.813
-3.0,-0.01,-1.742,-0.056,-0.552,-0.263,-2.554,0.0,0.0,-2.498,-3.19,-0.225,-0.654,-2.51,-8.578,29.63,-267.748,0.309,-3.207
-2.9,0.017,-3.525,-0.032,-2.165,0.069,-2.917,0.0,0.0,-3.1,-4.595,-0.147,-0.363,-2.343,-12.411,27.069,-251.869,0.17,-1.86
-2.8,-0.239,-1.636,-0.203,-1.353,-0.104,-3.209,0.0,0.0,-2.55,-6.246,-0.147,-0.177,-3.142,-6.685,29.149,-255.657,0.184,-2.693
-2.7,-0.238,-0.155,-0.173,0.315,-0.339,-5.255,0.0,0.0,-1.577,-5.747,-0.159,-0.133,-2.838,-3.854,30.332,-247.399,0.454,-5.998
-2.6,0.178,-2.421,-0.099,0.584,-0.767,-4.368,0.0,0.0,-1.475,-5.082,-0.095,-0.84,-3.011,-0.753,30.645,-251.053,0.438,-5.18
-2.5,0.959,-6.653,-0.109,0.653,-0.679,-3.244,0.0,0.0,-1.696,-4.134,-0.175,-0.584,-2.951,-3.888,30.045,-257.082,0.384,-4.202
-2.4,0.271,-2.337,-0.067,0.094,-0.557,-1.687,0.0,0.0,-2.038,-2.097,-0.163,-0.468,-3.159,-6.059,30.917,-269.409,0.363,-3.749
-2.3,-0.036,-0.974,-0.03,-0.831,-0.614,-1.642,0.0,0.0,-1.921,-1.485,-0.235,-0.697,-3.119,-7.808,31.244,-270.141,0.112,-0.856
-2.2,-0.029,-0.42,-0.005,-0.724,-0.486,-2.14,0.0,0.0,-2.031,-2.595,-0.5,-1.166,-3.131,-6.234,31.187,-248.058,0.004,-0.087
-2.1,-0.0,-0.042,-0.037,-1.16,-0.356,-1.893,0.0,0.0,-2.388,0.49,-0.44,-1.972,-3.714,-11.258,31.582,-237.805,0.001,0.478
-2.0,-0.002,-0.032,-0.086,-0.911,-0.409,-1.693,0.0,0.0,-1.892,-0.775,-0.58,-1.62,-3.518,-8.549,31.008,-265.405,0.001,0.233
-1.9,-0.022,0.002,-0.078,-0.862,-0.496,-3.718,0.0,0.0,-1.704,-2.705,-0.215,-0.502,-3.039,-4.054,30.82,-275.026,0.013,0.121
-1.8,-0.032,-0.198,-0.043,-0.341,-0.519,-3.739,0.0,0.0,-1.693,-2.177,-0.146,-0.832,-3.16,-4.412,30.508,-268.149,0.051,-0.665
-1.7,-0.088,-0.403,-0.038,-0.28,-0.649,-1.878,0.0,0.0,-1.674,-3.668,-0.176,-0.465,-3.132,-4.307,31.42,-261.573,0.097,-1.265
-1.6,-0.061,-0.782,-0.035,-0.689,-0.439,-2.064,0.0,0.0,-1.829,-3.23,-0.208,-0.635,-3.275,-5.11,31.433,-250.399,0.113,-1.358
-1.5,-0.095,-0.52,-0.039,-0.465,-0.379,-2.48,0.0,0.0,-1.844,-4.308,-0.28,-0.625,-3.271,-4.885,32.062,-263.897,0.065,-0.839
-1.4,-0.121,-0.221,-0.057,-0.353,0.1,-4.771,0.0,0.0,-2.006,-6.668,-0.418,-0.534,-3.562,-3.33,31.771,-271.584,0.005,-0.428
-1.3,-0.039,-0.076,-0.02,-0.203,3.004,-17.892,0.0,0.0,-2.116,-4.878,-0.515,-0.436,-3.645,-3.465,28.858,-259.652,0.007,-0.189
-1.2,-0.068,-0.043,-0.016,0.017,-0.004,-3.088,0.0,0.0,-1.885,-5.298,-0.528,-0.85,-3.082,-3.444,31.22,-257.587,0.045,-0.424
-1.1,-0.095,-0.428,-0.04,-0.534,-0.487,-1.191,0.0,0.0,-1.668,-4.548,-0.57,-0.629,-3.046,-4.458,31.428,-247.605,0.237,-2.395
-1.0,-0.127,-0.67,-0.123,-0.561,-0.483,-0.875,0.0,0.0,-1.892,-4.548,-0.432,-0.492,-2.992,-6.142,30.713,-249.974,0.782,-7.857
-0.9,-0.256,-1.17,-0.225,-1.641,-0.511,-0.024,0.0,0.0,-1.949,-2.166,-0.227,-0.656,-4.057,-6.271,30.258,-259.492,1.179,-12.671
-0.8,-0.044,-0.268,-0.104,-0.471,-0.318,-1.29,0.0,0.0,-2.455,-0.601,-0.097,-0.563,-4.873,-6.784,31.294,-267.191,0.524,-4.533
-0.7,-0.059,-0.223,0.051,-1.445,-0.757,-2.059,0.0,0.0,-2.708,-0.808,-0.052,-0.373,-3.457,-9.987,30.67,-264.437,0.051,0.279
-0.6,-0.061,-0.953,-0.009,-0.227,-1.183,-4.966,0.0,0.0,-2.341,-0.709,-0.067,-0.969,-4.386,-10.111,30.901,-264.986,0.002,-0.204
-0.5,-0.138,-0.492,-0.05,-0.696,-1.177,-2.46,0.0,0.0,-1.886,-3.363,-0.243,-1.309,-3.801,-8.431,29.899,-265.313,0.051,-0.572
-0.4,0.787,-4.933,-0.036,-0.226,-1.288,-0.868,0.0,0.0,-2.036,-5.662,-0.339,-0.94,-3.506,-9.059,29.633,-263.653,0.162,-1.532
-0.3,1.058,-6.141,-0.02,-0.318,-0.233,-7.224,0.0,0.0,-1.688,-6.284,-0.208,-0.591,-3.838,-6.839,29.223,-260.908,0.142,-1.658
-0.2,-0.202,-0.9,-0.003,-0.492,0.461,-11.125,0.0,0.0,-1.86,-3.049,-0.059,-0.048,-4.832,-5.224,29.475,-259.401,0.097,-1.627
-0.1,-0.066,-0.705,0.141,-0.596,-0.765,-2.51,0.0,0.0,-2.175,-0.119,-0.034,-0.198,-5.086,-6.718,29.744,-257.968,0.128,-1.984
-0.0,-0.025,-0.155,0.313,-2.019,-0.685,-3.614,0.0,0.0,-1.422,-2.42,-0.027,-0.308,-3.658,-6.458,29.148,-261.933,0.288,-3.541
0.1,-0.022,-0.081,-0.018,1.848,-0.3,-1.408,0.0,0.0,-2.211,-19.236,-0.054,-1.187,-1.57,-8.65,25.519,-237.577,0.103,-3.437
0.2,-0.027,-0.12,-0.047,-0.195,-0.341,-1.897,0.0,0.0,-2.039,-9.802,-0.309,-0.451,-3.109,-7.195,29.524,-262.585,0.086,-1.554
0.3,-0.044,-0.277,-0.041,-0.125,0.222,-6.889,0.0,0.0,-2.949,-6.294,-0.324,0.094,-4.828,-9.833,32.094,-256.246,0.011,-0.881
0.4,0.393,-5.637,-0.048,-0.976,-0.341,-2.495,0.0,0.0,-2.039,-5.522,-0.425,-0.732,-3.558,-10.249,30.033,-237.69,0.012,-0.112
0.5,-0.411,-6.327,-0.04,-1.732,-0.702,0.598,0.0,0.0,-1.521,-4.076,-0.132,-1.842,-3.378,-8.748,29.536,-217.601,0.138,-1.238
0.6,-0.266,-2.651,-0.045,-1.001,-0.621,-1.341,0.0,0.0,-1.606,-4.413,-0.261,-1.246,-2.844,-6.43,30.235,-208.377,0.107,-1.367
0.7,-0.024,-0.059,-0.05,-0.552,-0.374,-1.916,0.0,0.0,-1.763,-3.999,-0.462,-1.576,-2.714,-5.387,30.77,-204.579,0.035,-0.547
0.8,-0.012,0.065,-0.033,-0.628,0.011,-2.444,0.0,0.0,-1.911,-2.653,-0.545,-1.731,-2.892,-5.826,31.181,-203.057,0.017,-0.316
0.9,-0.011,0.037,-0.005,-0.661,-0.067,-1.802,0.0,0.0,-2.016,-3.506,-0.6,-1.559,-2.848,-6.36,30.809,-220.214,0.034,-0.512
1.0,-0.002,-0.079,-0.002,-0.068,-0.281,-1.14,0.0,0.0,-1.943,-4.008,-0.609,-1.98,-2.804,-4.679,30.928,-249.947,0.041,-0.771
1.1,-0.011,-0.083,-0.002,0.429,-0.173,-1.827,0.0,0.0,-1.931,-3.613,-0.507,-1.762,-2.67,-3.639,31.314,-270.007,0.069,-0.914
1.2,-0.013,-0.043,-0.004,-0.044,-0.228,-2.461,0.0,0.0,-1.698,-2.312,-0.54,-1.795,-2.504,-4.659,31.006,-268.968,0.173,-2.049
1.3,-0.005,-0.016,-0.004,-0.195,-0.442,-2.439,0.0,0.0,-1.569,-0.96,-0.668,-2.46,-2.834,-6.131,30.958,-264.709,0.39,-4.412
1.4,-0.008,-0.048,-0.002,0.0,-0.493,-2.915,0.0,0.0,-1.696,-0.447,-0.7,-2.519,-3.073,-6.902,30.611,-259.367,0.37,-4.123
1.5,-0.019,-0.027,-0.001,-0.011,-0.474,-2.325,0.0,0.0,-1.804,-3.504,-0.843,-3.18,-2.543,-6.735,30.928,-259.941,0.145,-1.849
1.6,-0.002,0.026,-0.0,-0.061,-0.265,-0.787,0.0,0.0,-2.165,-6.492,-0.988,-3.323,-2.683,-7.802,30.998,-264.924,0.006,-0.502
1.7,-0.0,-0.035,-0.0,0.432,-0.446,-1.966,0.0,0.0,-1.738,-12.482,-1.189,-3.7,-2.425,-9.39,30.442,-256.432,0.001,0.1
1.8,-0.0,-0.022,-0.0,0.12,-0.438,-1.403,0.0,0.0,-1.703,-8.596,-0.993,-2.861,-3.045,-7.583,30.604,-252.882,0.001,0.256
1.9,-0.0,-0.015,-0.0,0.056,-0.3,-1.256,0.0,0.0,-2.025,-6.018,-0.572,-1.468,-2.946,-6.158,30.356,-246.788,0.005,-0.66
2.0,-0.0,-0.003,-0.0,0.293,-0.187,-1.028,0.0,0.0,-1.95,-6.915,-0.486,-1.745,-2.592,-6.304,29.133,-258.948,0.257,-3.36
2.1,-0.0,-0.0,-0.0,0.133,-0.109,-0.401,0.0,0.0,-2.5,-4.078,-0.471,-1.592,-3.377,-4.225,29.778,-256.819,1.242,-14.498
2.2,-0.0,-0.02,-0.0,0.28,-0.083,-0.411,0.0,0.0,-3.011,-2.826,-0.494,-0.667,-3.505,-1.786,29.303,-248.936,2.84,-29.168
2.3,0.0,-0.029,0.0,0.792,-0.155,-1.039,0.0,0.0,-2.664,-8.917,-0.567,-0.833,-2.879,-2.751,29.928,-245.333,1.179,-13.496
2.4,-0.0,0.006,0.0,0.095,-0.22,-1.588,0.0,0.0,-2.397,-8.38,-0.683,-1.802,-2.689,-5.664,30.585,-238.319,0.337,-3.48
2.5,-0.0,0.016,0.0,-0.219,-0.113,-2.21,0.0,0.0,-2.395,-8.883,-0.544,-1.829,-2.564,-8.176,29.546,-249.738,0.32,-2.999
2.6,-0.0,0.007,0.0,-0.342,-0.041,-2.492,0.0,0.0,-2.024,-6.291,-0.344,-1.975,-2.499,-8.743,29.256,-255.763,0.422,-4.733
2.7,-0.001,-0.048,0.0,-0.582,-0.149,-1.425,0.0,0.0,-2.038,-1.964,-0.406,-2.224,-2.764,-9.724,30.109,-261.912,0.072,-0.58
2.8,-0.002,-0.094,0.0,-0.459,-0.123,-0.214,0.0,0.0,-2.547,-3.795,-0.363,-1.686,-3.568,-8.895,31.626,-247.384,0.151,-1.357
2.9,-0.001,-0.01,0.0,0.081,-0.114,-0.507,0.0,0.0,-2.36,-8.151,-0.301,-1.365,-3.127,-6.167,30.878,-246.692,0.06,-0.829
3.0,-0.001,-0.004,-0.0,-0.292,-0.173,-0.469,0.0,0.0,-1.958,-4.167,-0.533,-1.283,-2.364,-7.331,30.882,-262.812,0.069,-0.464
3.1,-0.0,0.018,0.0,-0.409,-0.227,-1.207,0.0,0.0,-1.925,-1.881,-0.726,-1.538,-2.668,-8.296,30.824,-270.291,0.04,-0.226
3.2,-0.0,0.03,-0.0,-0.57,-0.219,-0.864,0.0,0.0,-1.718,0.061,-0.675,-1.958,-2.314,-9.234,30.138,-273.101,0.01,0.13
3.3,-0.0,0.018,-0.0,-0.473,-0.098,-0.604,0.0,0.0,-1.595,-0.427,-0.531,-2.023,-1.986,-7.246,30.705,-276.378,0.027,-0.04
3.4,-0.0,0.016,-0.0,-0.009,-0.094,-0.823,0.0,0.0,-1.959,-5.082,-0.987,-2.602,-2.089,-3.207,30.804,-269.845,0.024,-0.389
3.5,-0.001,-0.019,0.0,0.393,-0.056,-1.843,0.0,0.0,-2.438,-8.71,-1.398,-2.873,-2.297,0.374,30.347,-276.225,0.02,-0.778
3.6,-0.004,-0.087,0.0,0.593,-0.216,-1.324,0.0,0.0,-2.746,-9.779,-1.567,-2.663,-2.755,1.243,30.97,-270.53,0.004,-1.051
3.7,-0.013,-0.165,-0.0,-0.079,-0.17,-1.818,0.0,0.0,-1.894,-3.86,-0.741,-1.845,-2.534,-4.266,30.232,-270.32,0.019,-0.503
3.8,-0.005,-0.32,-0.0,-0.342,-0.151,-1.368,0.0,0.0,-1.733,0.015,-0.415,-1.592,-2.335,-6.452,30.736,-278.719,0.057,-0.701
3.9,-0.027,-0.134,-0.0,-0.229,-0.218,-0.729,0.0,0.0,-1.783,-0.573,-0.354,-1.565,-2.311,-5.88,30.768,-278.95,0.121,-1.135
4.0,-0.024,-0.104,-0.001,-0.029,-0.271,-0.874,0.0,0.0,-1.588,-2.791,-0.285,-1.078,-2.386,-4.389,30.284,-273.523,0.057,-0.51
4.1,-0.026,-0.144,-0.002,-0.172,-0.198,-0.813,0.0,0.0,-1.542,-2.466,-0.202,-1.091,-2.517,-5.551,30.664,-278.463,0.013,-0.032
4.2,-0.041,-0.339,-0.001,-0.235,0.184,-2.604,0.0,0.0,-1.688,-2.545,-0.247,-1.049,-2.616,-6.525,30.026,-271.137,0.008,0.091
4.3,-0.021,-0.295,-0.001,-0.186,-0.051,-2.042,0.0,0.0,-1.578,-2.931,-0.349,-0.859,-2.302,-5.599,30.647,-275.013,0.001,0.055
4.4,-0.014,-0.125,-0.004,-0.319,-0.213,-1.609,0.0,0.0,-1.287,-1.687,-0.29,-0.949,-1.918,-4.95,30.509,-261.559,0.005,-0.014
4.5,0.015,-0.212,-0.008,-0.319,-0.359,-1.259,0.0,0.0,-0.948,0.325,-0.157,-0.834,-1.657,-5.206,30.491,-239.339,0.018,-0.167
4.6,-0.014,-0.247,-0.007,-0.21,-0.2,-1.8,0.0,0.0,-0.891,0.026,-0.126,-0.498,-1.512,-4.31,30.086,-224.318,0.008,-0.144
4.7,-0.048,-0.213,-0.015,-0.156,-0.213,-2.213,0.0,0.0,-0.889,-0.93,-0.148,-0.391,-1.705,-3.252,30.089,-211.386,0.028,-0.215
4.8,-0.052,-0.122,-0.01,-0.251,-0.394,-1.05,0.0,0.0,-0.775,0.754,-0.165,-0.59,-1.587,-3.787,30.467,-215.631,0.019,-0.239
4.9,-0.022,-0.071,-0.022,-0.348,-0.298,-1.138,0.0,0.0,-0.63,0.921,-0.148,-0.49,-1.376,-3.519,30.179,-231.306,0.019,-0.246
5.0,-0.017,-0.02,-0.028,-0.344,-0.162,-2.259,0.0,0.0,-0.603,0.869,-0.104,-0.398,-1.377,-3.574,30.125,-261.81,0.022,-0.255
5.1,-0.013,-0.043,-0.031,-0.337,-0.136,-2.469,0.0,0.0,-0.56,0.721,-0.08,-0.412,-1.323,-3.761,30.111,-278.385,0.037,-0.311
5.2,-0.013,-0.059,-0.027,-0.315,-0.319,-1.466,0.0,0.0,-0.465,1.207,-0.09,-0.43,-1.062,-3.848,30.256,-279.247,0.07,-0.7
5.3,-0.02,-0.143,-0.031,-0.291,-0.297,-1.544,0.0,0.0,-0.254,0.825,-0.121,-0.385,-0.718,-2.156,30.151,-272.556,0.062,-0.702
5.4,-0.014,-0.124,-0.036,-0.412,-0.188,-1.311,0.0,0.0,-0.119,1.163,-0.126,-0.45,-0.437,-1.9,29.652,-261.107,0.037,-0.408
5.5,0.002,-0.112,-0.027,-0.368,-0.234,-0.79,0.0,0.0,-0.083,0.813,-0.103,-0.316,-0.318,-1.277,29.875,-262.827,0.062,-0.679
5.6,-0.006,0.008,-0.024,-0.48,-0.205,-0.633,0.0,0.0,-0.07,0.911,-0.058,-0.215,-0.295,-1.399,29.423,-282.916,0.088,-0.855
5.7,-0.001,0.007,-0.041,-0.492,-0.165,-0.744,0.0,0.0,-0.057,1.264,-0.023,-0.166,-0.29,-1.725,29.829,-285.948,0.128,-1.21
5.8,-0.0,0.007,-0.042,-0.343,-0.147,-0.714,0.0,0.0,-0.039,1.042,-0.017,-0.143,-0.205,-1.422,30.427,-276.098,0.086,-0.823
5.9,-0.0,0.005,-0.019,-0.171,-0.095,-0.397,0.0,0.0,-0.017,0.746,-0.013,-0.12,-0.098,-0.898,29.979,-265.678,0.045,-0.357
6.0,-0.0,0.004,-0.002,-0.104,-0.079,-0.137,0.0,0.0,-0.004,0.566,-0.015,-0.102,-0.038,-0.561,29.8,-273.839,0.033,-0.263
6.1,-0.0,0.005,-0.001,-0.13,-0.032,0.057,0.0,0.0,-0.001,0.769,-0.004,-0.082,-0.016,-0.484,29.375,-285.212,0.015,-0.195
6.2,-0.0,0.003,-0.0,-0.097,-0.011,0.045,0.0,0.0,-0.0,0.497,-0.001,-0.052,-0.004,-0.007,29.21,-286.477,0.036,-0.376
6.3,-0.0,0.005,-0.0,-0.111,-0.004,0.102,0.0,0.0,-0.0,0.686,-0.0,-0.069,-0.0,-0.382,29.464,-275.702,0.026,-0.254
6.4,-0.0,-0.0,-0.0,-0.073,-0.004,0.06,0.0,0.0,-0.0,0.404,-0.0,-0.044,-0.0,-0.324,29.941,-266.489,0.021,-0.183
6.5,-0.0,0.003,-0.0,-0.1,-0.003,0.111,0.0,0.0,0.0,0.72,-0.0,-0.074,-0.0,-0.782,29.549,-280.186,0.029,-0.233
6.6,-0.0,0.003,-0.0,-0.091,-0.001,0.105,0.0,0.0,-0.0,0.677,-0.0,-0.07,-0.0,-0.735,29.383,-288.028,0.025,-0.248
6.7,-0.0,0.005,-0.0,-0.102,-0.0,0.141,0.0,0.0,0.0,0.843,-0.0,-0.086,-0.0,-0.916,29.373,-282.763,0.02,-0.179
6.8,-0.0,0.004,-0.0,-0.059,-0.0,0.065,0.0,0.0,-0.0,0.366,-0.0,-0.041,-0.0,-0.403,29.458,-275.661,0.013,-0.166
6.9,-0.0,0.002,-0.0,-0.044,-0.0,0.033,0.0,0.0,0.0,0.163,-0.0,-0.02,0.0,-0.186,29.669,-265.152,0.029,-0.376
7.0,-0.0,0.005,-0.0,-0.096,0.0,0.11,0.0,0.0,0.0,0.608,-0.0,-0.065,0.0,-0.666,29.409,-265.341,0.066,-0.723
