#zlen 18 com 14.4921    
    1TCq1    O5   13   0.955   2.296  11.004 -0.4313  0.8920  0.4866
    1TCq1    O6   14   0.892   2.176  11.172 -0.3173 -0.0397 -0.0229
    3TCq1    O5   45   0.715   3.386  10.506  0.8434 -0.4176  0.1631
    3TCq1    O6   46   0.871   3.303  10.377 -0.2215  0.2225 -0.3809
    5TCq1    O5   77   1.248   4.726  12.680  0.0373 -0.2426  0.0624
    5TCq1    O6   78   1.132   4.764  12.492  0.4738  0.5228  0.6108
    7TCq1    O5  109   2.970   4.257  13.588  0.4614 -0.2468 -0.3356
    7TCq1    O6  110   2.920   4.033  13.611  0.8260  0.6245 -0.0473
    9TCq1    O5  141   1.238   3.140  10.600 -0.0006  0.0973  0.3711
    9TCq1    O6  142   1.095   2.969  10.571  0.3727 -0.0793  0.1450
   11TCq1    O5  173   2.479   2.346  15.144  0.0289 -0.5813  0.0557
   11TCq1    O6  174   2.274   2.374  15.223 -0.2691  0.1721  0.4950
   13TCq1    O5  205   1.730   2.824  10.653 -0.2417 -0.5116 -0.1583
   13TCq1    O6  206   1.517   2.826  10.568  0.3919 -0.1178 -0.2332
   15TCq1    O5  237   2.881   1.337   1.651  0.1085 -0.7394  0.4843
   15TCq1    O6  238   2.759   1.187   1.763 -0.4329  0.1969  0.0615
   17TCq1    O5  269   1.555   1.666  11.194  0.4344  0.1731  0.1299
   17TCq1    O6  270   1.381   1.529  11.208 -0.2946 -0.3898  0.0078
   22TCq2    O5  345   0.366   1.970  14.797 -0.3419 -0.3970 -0.6607
   22TCq2    O6  346   0.434   1.968  14.588 -0.5032  0.0472  0.0501
   24TCq2    O5  375   1.378   4.141  14.514 -0.0003  0.0815 -0.1666
   24TCq2    O6  376   1.170   4.149  14.453 -0.8260  0.3598 -0.2498
   30TCq2    O5  467   3.656   0.968  15.167  0.2611  0.3040 -0.6346
   30TCq2    O6  468   3.731   1.181  15.161  0.9143 -0.0165 -0.2498
   32TCq2    O5  497   0.895   4.413  15.803  0.1690 -0.3352 -0.1733
   32TCq2    O6  498   0.916   4.409  15.579  0.1021  0.6245 -0.0822
   34TCq2    O5  527   1.583   2.358   9.983  0.2511  0.1765  0.4739
   34TCq2    O6  528   1.577   2.284  10.196  0.3122  0.6004 -0.2884
   36TCq2    O5  557   2.550   4.059  11.752  0.7067 -0.3021 -0.0781
   36TCq2    O6  558   2.422   3.877  11.773 -0.0591 -0.1709  0.6203
   40TCq2    O5  618   3.277   1.305   1.536  0.2896  0.0731  0.0296
   40TCq2    O6  619   3.448   1.381   1.652  0.4894 -0.7438 -0.1743
   44TCq2    O5  679   3.445   2.495   1.312 -0.9521  0.4352  0.0968
   44TCq2    O6  680   3.538   2.478   1.520  0.4308  0.6776 -0.0007
   50TCq2    O5  771   0.443   1.828  10.146  0.3670 -0.6205 -0.0080
   50TCq2    O6  772   0.610   1.949  10.221  0.2351 -0.2943  0.2793
   52TCq2    O5  801   0.586   1.231   2.180  0.2509 -0.0176  0.2390
   52TCq2    O6  802   0.671   1.027   2.158 -0.2273  0.6224 -0.4302
   56TCq2    O5  862   2.030   1.127  17.816  0.8159 -0.2114  0.0922
   56TCq2    O6  863   2.150   1.294  17.726 -0.1139  0.3784  0.1455
   60TCq2    O5  923   3.404   2.400  12.788  0.2932  0.0507 -0.0672
   60TCq2    O6  924   3.469   2.415  13.001  0.8294  0.0415 -0.0152
   62TCq2    O5  953   2.874   3.676  15.748  0.0024  0.4193 -0.6078
   62TCq2    O6  954   2.840   3.525  15.586  0.0248 -0.0933  0.3098
   66TCq2    O5 1014   3.762   3.581  15.501 -0.2267  0.1112 -0.2362
   66TCq2    O6 1015   3.774   3.792  15.435  0.5741 -0.4590  0.1046
   68TCq2    O5 1044   3.849   3.419  14.791  0.0802  0.2949 -0.3377
   68TCq2    O6 1045   3.919   3.372  15.001  0.1780  0.5686 -0.8647
   75TCq2    O5 1153   2.680   2.972  14.616  0.4916  0.5296 -0.6177
   75TCq2    O6 1154   2.827   2.978  14.783 -0.0798  0.1649  0.1780
   77TCq2    O5 1183   2.109   3.108  11.843 -0.1290 -0.1445 -0.5533
   77TCq2    O6 1184   2.056   3.312  11.785 -0.0275 -0.2713  0.0626
   79TCq2    O5 1214   3.703   4.271   1.847 -0.4928  0.1161  0.7159
   79TCq2    O6 1215   3.904   4.199   1.771  0.6743  0.1648 -0.1854
   81TCq2    O5 1244   1.328   2.961  11.900 -0.0916 -0.0891 -0.0965
   81TCq2    O6 1245   1.531   2.918  11.982 -0.4828  0.5472 -0.6507
   83TCq2    O5 1274   4.501   2.709  11.609  0.1866  0.3031 -0.4224
   83TCq2    O6 1275   4.415   2.913  11.596  0.0298 -0.5279  0.1635
   84TCq2    O5 1290   0.453   2.154  11.896 -0.0343 -0.1015  0.1591
   84TCq2    O6 1291   0.494   2.286  11.718 -0.0165  0.4846  0.6345
   86TCq2    O5 1320   0.858   0.452  15.875 -0.2790 -0.6902  0.4162
   86TCq2    O6 1321   0.716   0.276  15.864  0.1883  0.0677 -0.0098
   88TCq2    O5 1350   3.637   3.394   1.225  0.1271 -0.2044  0.7591
   88TCq2    O6 1351   3.440   3.399   1.331  0.4235  0.0430  0.7234
   90TCq2    O5 1380   4.170   1.814   1.733  0.4770 -0.4883  0.1196
   90TCq2    O6 1381   4.336   1.944   1.676  0.0320 -0.0761 -0.2343
   94TCq2    O5 1441   3.133   1.242  14.584  0.2140  0.4617  0.1679
   94TCq2    O6 1442   2.952   1.113  14.562  0.0553  0.0858  0.5220
   98TCq2    O5 1502   0.001   0.667   0.035 -0.3507  0.3166 -0.0664
   98TCq2    O6 1503   4.783   0.485   0.169  0.3708 -0.3417 -0.0792
  100TCq2    O5 1532   3.880   3.224   2.432  0.0130  0.3394 -0.5017
  100TCq2    O6 1533   3.666   3.218   2.495 -0.4427 -0.1825 -0.6190
  102TCq2    O5 1562   4.288   4.052  13.008 -0.3122  0.4074 -0.1696
  102TCq2    O6 1563   4.431   4.223  12.985 -0.1201  0.1874  0.4972
  106TCq2    O5 1623   3.639   3.170   0.150  0.2750 -0.3026 -0.1963
  106TCq2    O6 1624   3.802   3.202  17.990  0.2419 -0.8291 -0.0465
  110TCq2    O5 1684   0.319   0.200   1.828 -0.1959  0.1778  0.0256
  110TCq2    O6 1685   0.400   0.202   1.624 -0.5872  0.0593 -0.1994
  114TCq2    O5 1745   2.735   1.823   0.141 -0.3447 -0.0954  0.2229
  114TCq2    O6 1746   2.793   2.042   0.157 -0.3789 -0.1018  0.7231
  120TCq2    O5 1837   0.992   2.300  13.568 -0.2537 -0.3462 -0.0023
  120TCq2    O6 1838   0.831   2.161  13.513  0.1841  0.5237  0.3575
  124TCq2    O5 1898   0.450   3.116   9.251 -0.3506 -0.9241 -0.2681
  124TCq2    O6 1899   0.627   3.059   9.376  0.2116 -0.0439  0.1908
  128TCq2    O5 1960   2.367   3.437  10.280  0.7709 -0.2023  0.1326
  128TCq2    O6 1961   2.185   3.301  10.287  0.5148 -0.1894 -0.5434
  130TCq2    O5 1990   0.647   4.773   1.901  0.8553 -0.2249  0.0034
  130TCq2    O6 1991   0.721   4.575   1.930 -0.5471  0.2783  0.0999
  132TCq2    O5 2020   0.275   3.640  10.448  0.3371 -0.0881 -0.0389
  132TCq2    O6 2021   0.062   3.618  10.392  0.5051  0.3130  0.2833
  134TCq2    O5 2050   0.269   4.395   8.853 -0.6511  0.7897 -0.5021
