#Zbox 18.0 com 14.4984 
    5TCq1    O5   79   1.416   4.506  12.659  0.2103  0.1896  0.3963
    5TCq1    O6   80   1.329   4.646  12.505 -0.5748 -1.0847  0.1728
    7TCq1    O5  111   3.161   3.879  13.681  0.2212 -0.8015  0.0740
    7TCq1    O6  112   3.164   3.653  13.691 -0.1056  0.1908  0.0159
   11TCq1    O5  176   2.493   2.261  15.041 -0.0035 -0.8484  0.0993
   11TCq1    O6  177   2.287   2.276  15.120  0.3410  0.4834  0.1032
   13TCq1    O5  208   2.032   3.115  11.236  0.6804  0.3588 -0.2254
   13TCq1    O6  209   1.856   3.095  11.098  0.3467 -0.6076 -0.0902
   15TCq1    O5  240   2.780   1.167   1.152 -0.3397  0.1133  0.2256
   15TCq1    O6  241   2.733   1.165   1.375  0.4578 -0.0397 -0.1762
    1TCq1    O514105   2.047   0.183  11.519 -0.3842  0.1356  0.3306
    1TCq1    O614106   2.144   4.793  11.579  0.7896  0.1019  0.2387
    3TCq1    O514384   2.376   2.344  13.989  0.0538  0.1436 -0.3377
    3TCq1    O614385   2.565   2.373  14.107  0.9237 -0.0429  0.5681
    3TCq1    O514431   1.461   4.702  14.939 -0.3966 -0.0190  0.5864
    3TCq1    O614432   1.280   4.607  15.040 -0.0170 -0.1787  0.2771
